Sex,Year,Source,MortalityType,Value,Target,Bridge
Total,2001,Total,Diseases of the circulatory system,3592476.268,Diseases of the circulatory system,Other
Total,2002,Total,Diseases of the circulatory system,3560418.279,Diseases of the circulatory system,Other
Total,2003,Total,Diseases of the circulatory system,3545492.819,Diseases of the circulatory system,Other
Total,2000,Total,Diseases of the circulatory system,3475489.158,Diseases of the circulatory system,Other
Total,2004,Total,Diseases of the circulatory system,3324912.37,Diseases of the circulatory system,Other
Total,2005,Total,Diseases of the circulatory system,3215198.84,Diseases of the circulatory system,Other
Total,2009,Total,Diseases of the circulatory system,3161225.466,Diseases of the circulatory system,Other
Total,2006,Total,Diseases of the circulatory system,3128392.525,Diseases of the circulatory system,Other
Total,2010,Total,Diseases of the circulatory system,3125201.617,Diseases of the circulatory system,Other
Total,2007,Total,Diseases of the circulatory system,3099855.788,Diseases of the circulatory system,Other
Total,2008,Total,Diseases of the circulatory system,3032152.883,Diseases of the circulatory system,Other
Total,2012,Total,Diseases of the circulatory system,3007332.701,Diseases of the circulatory system,Other
Total,2013,Total,Diseases of the circulatory system,3004315.602,Diseases of the circulatory system,Other
Total,2011,Total,Diseases of the circulatory system,2984618.081,Diseases of the circulatory system,Other
Total,2015,Total,Diseases of the circulatory system,2980592.704,Diseases of the circulatory system,Other
Total,2014,Total,Diseases of the circulatory system,2970771.517,Diseases of the circulatory system,Other
Total,2016,Total,Diseases of the circulatory system,2918176.192,Diseases of the circulatory system,Other
Total,2017,Total,Diseases of the circulatory system,2632393.258,Diseases of the circulatory system,Other
Total,2019,Total,Diseases of the circulatory system,2532858.279,Diseases of the circulatory system,Other
Total,2018,Total,Diseases of the circulatory system,2403216.829,Diseases of the circulatory system,Other
Total,2020,Total,Diseases of the circulatory system,2328007.851,Diseases of the circulatory system,Other
Total,2010,Total,Neoplasms,2281123.385,Neoplasms,Other
Total,2009,Total,Neoplasms,2276025.99,Neoplasms,Other
Total,2012,Total,Neoplasms,2262257.848,Neoplasms,Other
Total,2013,Total,Neoplasms,2257797.87,Neoplasms,Other
Total,2014,Total,Neoplasms,2255613.843,Neoplasms,Other
Total,2011,Total,Neoplasms,2251945.408,Neoplasms,Other
Total,2001,Total,Neoplasms,2249686.62,Neoplasms,Other
Total,2002,Total,Neoplasms,2249546.764,Neoplasms,Other
Total,2003,Total,Neoplasms,2247863.05,Neoplasms,Other
Total,2016,Total,Neoplasms,2228362.227,Neoplasms,Other
Total,2015,Total,Neoplasms,2221156.708,Neoplasms,Other
Total,2004,Total,Neoplasms,2216032.342,Neoplasms,Other
Total,2010,Total,Malignant neoplasms,2213169.331,Neoplasms,Other
Total,2009,Total,Malignant neoplasms,2210056.85,Neoplasms,Other
Total,2007,Total,Neoplasms,2208534.187,Neoplasms,Other
Total,2008,Total,Neoplasms,2205319.594,Neoplasms,Other
Total,2006,Total,Neoplasms,2193419.388,Neoplasms,Other
Total,2012,Total,Malignant neoplasms,2191668.747,Neoplasms,Other
Total,2002,Total,Malignant neoplasms,2188664.508,Neoplasms,Other
Total,2001,Total,Malignant neoplasms,2188197.305,Neoplasms,Other
Total,2013,Total,Malignant neoplasms,2185632.464,Neoplasms,Other
Total,2003,Total,Malignant neoplasms,2184570.863,Neoplasms,Other
Total,2011,Total,Malignant neoplasms,2183409.446,Neoplasms,Other
Total,2014,Total,Malignant neoplasms,2182828.027,Neoplasms,Other
Total,2005,Total,Neoplasms,2165488.843,Neoplasms,Other
Total,2016,Total,Malignant neoplasms,2154342.945,Neoplasms,Other
Total,2004,Total,Malignant neoplasms,2154317.135,Neoplasms,Other
Total,2015,Total,Malignant neoplasms,2147831.005,Neoplasms,Other
Total,2007,Total,Malignant neoplasms,2145403.095,Neoplasms,Other
Total,2008,Total,Malignant neoplasms,2141970.089,Neoplasms,Other
Total,2006,Total,Malignant neoplasms,2130946.934,Neoplasms,Other
Total,2000,Total,Neoplasms,2128096.536,Neoplasms,Other
Total,2005,Total,Malignant neoplasms,2104145.556,Neoplasms,Other
Male,2001,Total,Diseases of the circulatory system,2092784.271,Diseases of the circulatory system,Other
Total,2017,Total,Neoplasms,2076846.235,Neoplasms,Other
Total,2000,Total,Malignant neoplasms,2070100.071,Neoplasms,Other
Male,2002,Total,Diseases of the circulatory system,2067398.472,Diseases of the circulatory system,Other
Male,2003,Total,Diseases of the circulatory system,2051508.756,Diseases of the circulatory system,Other
Male,2000,Total,Diseases of the circulatory system,2022002.543,Diseases of the circulatory system,Other
Total,2017,Total,Malignant neoplasms,2003312.373,Neoplasms,Other
Male,2004,Total,Diseases of the circulatory system,1926395.957,Diseases of the circulatory system,Other
Total,2019,Total,Neoplasms,1878380.896,Neoplasms,Other
Male,2005,Total,Diseases of the circulatory system,1852679.998,Diseases of the circulatory system,Other
Male,2009,Total,Diseases of the circulatory system,1838367.192,Diseases of the circulatory system,Other
Total,2018,Total,Neoplasms,1837660.547,Neoplasms,Other
Male,2006,Total,Diseases of the circulatory system,1817913.734,Diseases of the circulatory system,Other
Total,2019,Total,Malignant neoplasms,1812743.339,Neoplasms,Other
Male,2010,Total,Diseases of the circulatory system,1809309.551,Diseases of the circulatory system,Other
Male,2007,Total,Diseases of the circulatory system,1801610.447,Diseases of the circulatory system,Other
Total,2018,Total,Malignant neoplasms,1774318.755,Neoplasms,Other
Male,2008,Total,Diseases of the circulatory system,1759103.412,Diseases of the circulatory system,Other
Male,2013,Total,Diseases of the circulatory system,1743676.377,Diseases of the circulatory system,Other
Male,2012,Total,Diseases of the circulatory system,1743590.474,Diseases of the circulatory system,Other
Male,2011,Total,Diseases of the circulatory system,1734760.296,Diseases of the circulatory system,Other
Male,2015,Total,Diseases of the circulatory system,1727139.651,Diseases of the circulatory system,Other
Male,2014,Total,Diseases of the circulatory system,1717051.162,Diseases of the circulatory system,Other
Male,2016,Total,Diseases of the circulatory system,1691276.712,Diseases of the circulatory system,Other
Total,2020,Total,Neoplasms,1650544.346,Neoplasms,Other
Total,2020,Total,Malignant neoplasms,1590687.129,Neoplasms,Other
Female,2001,Total,Diseases of the circulatory system,1578340.915,Diseases of the circulatory system,Other
Female,2002,Total,Diseases of the circulatory system,1566634.005,Diseases of the circulatory system,Other
Female,2003,Total,Diseases of the circulatory system,1562173.857,Diseases of the circulatory system,Other
Female,2000,Total,Diseases of the circulatory system,1531981.009,Diseases of the circulatory system,Other
Male,2017,Total,Diseases of the circulatory system,1508748.08,Diseases of the circulatory system,Other
Total,2001,Total,Ischaemic heart diseases,1503859.237,Diseases of the circulatory system,Diseases of the circulatory system
Total,2002,Total,Ischaemic heart diseases,1481383.762,Diseases of the circulatory system,Diseases of the circulatory system
Male,2019,Total,Diseases of the circulatory system,1473842.639,Diseases of the circulatory system,Other
Total,2003,Total,Ischaemic heart diseases,1467880.476,Diseases of the circulatory system,Diseases of the circulatory system
Male,2001,Total,Neoplasms,1461704.38,Neoplasms,Other
Female,2004,Total,Diseases of the circulatory system,1460733.989,Diseases of the circulatory system,Other
Male,2009,Total,Neoplasms,1459340.121,Neoplasms,Other
Male,2010,Total,Neoplasms,1458265.1,Neoplasms,Other
Male,2002,Total,Neoplasms,1458254.931,Neoplasms,Other
Male,2003,Total,Neoplasms,1453682.756,Neoplasms,Other
Total,2000,Total,Ischaemic heart diseases,1440783.532,Diseases of the circulatory system,Diseases of the circulatory system
Male,2012,Total,Neoplasms,1434950.039,Neoplasms,Other
Male,2011,Total,Neoplasms,1434164.945,Neoplasms,Other
Male,2013,Total,Neoplasms,1429100.785,Neoplasms,Other
Male,2004,Total,Neoplasms,1429100.353,Neoplasms,Other
Male,2001,Total,Malignant neoplasms,1423920.641,Neoplasms,Other
Male,2002,Total,Malignant neoplasms,1421004.306,Neoplasms,Other
Male,2009,Total,Malignant neoplasms,1419139.183,Neoplasms,Other
Male,2014,Total,Neoplasms,1418915.29,Neoplasms,Other
Female,2005,Total,Diseases of the circulatory system,1417321.252,Diseases of the circulatory system,Other
Male,2007,Total,Neoplasms,1416844.82,Neoplasms,Other
Male,2010,Total,Malignant neoplasms,1416839.078,Neoplasms,Other
Male,2003,Total,Malignant neoplasms,1414833.615,Neoplasms,Other
Male,2008,Total,Neoplasms,1408437.959,Neoplasms,Other
Male,2006,Total,Neoplasms,1405825.433,Neoplasms,Other
