Country Code,Country,Sex,Year,Observed Percentage,Observed Persons,Vaping Observed Percentage,Vaping Observed Persons
DEU,Germany,Total,2003,24.3,17069614.7,0,0
SVN,Slovenia,Male,2019,19.3,170553.907,2.1,18557.679
CRI,Costa Rica,Female,2000,6.1,80320.652,0,0
DNK,Denmark,Male,2017,18.5,439216.27,2.9,68850.118
DEU,Germany,Total,2005,23.2,16398260.42,0,0
DNK,Denmark,Male,2021,15.2,368538.896,2.7,65464.146
DEU,Germany,Total,2009,21.9,15509894.92,0,0
CRI,Costa Rica,Female,2022,3.8,77758.108,2.8,57295.448
DEU,Germany,Total,2013,20.9,14626434.04,0,0
LUX,Luxembourg,Male,2019,17.6,45926.32,2.3,6001.735
DEU,Germany,Total,2017,18.8,13450805.17,0,0
AUS,Australia,Male,2016,14,1351767.06,1.3,125521.227
DEU,Germany,Total,2021,14.6,10461441.66,0,0
AUS,Australia,Male,2019,12.4,1258083.416,2.7,273937.518
FIN,Finland,Female,2000,20.3,444558.226,0,0
ISR,Israel,Female,2017,12.8,408539.776,0,0
CRI,Costa Rica,Female,2006,8.6,132773.766,0,0
ISR,Israel,Female,2019,11.4,378358.704,0.4,13275.744
FIN,Finland,Female,2001,19.7,432877.162,0,0
CAN,Canada,Female,2015,11.3,1712514.096,2.6,394029.792
CRI,Costa Rica,Female,2007,8.7,137423.808,0,0
CAN,Canada,Female,2017,10,1551426,2.5,387856.5
FIN,Finland,Female,2002,19.9,438686.147,0,0
CAN,Canada,Female,2019,8.7,1390265.568,3.6,575282.304
CRI,Costa Rica,Female,2008,8.9,143779.411,0,0
CAN,Canada,Female,2020,7.6,1228831.84,2.9,468896.36
FIN,Finland,Female,2003,19.3,426927.194,0,0
CAN,Canada,Female,2021,7.9,1286513.42,3.5,569974.3
CRI,Costa Rica,Female,2009,9.1,150209.15,0,0
BEL,Belgium,Total,2018,15.4,1458891.434,4.1,388406.161
FIN,Finland,Female,2004,19.5,433220.97,0,0
CRI,Costa Rica,Female,2010,9.3,156809.439,0,0
FIN,Finland,Female,2005,18.2,406406.546,0,0
CRI,Costa Rica,Female,2011,8.4,144555.18,0,0
FIN,Finland,Female,2006,18.9,424411.974,0,0
SWE,Sweden,Female,2018,9.2,385039.596,1.5,62778.195
CRI,Costa Rica,Female,2012,7.5,131562.6,0,0
SWE,Sweden,Female,2020,8.7,369975.591,0.8,34020.744
FIN,Finland,Female,2007,16.6,374974.744,0,0
SWE,Sweden,Female,2021,9.1,389615.681,0.8,34251.928
CRI,Costa Rica,Female,2013,6.6,117906.03,0,0
FIN,Finland,Female,2008,17.6,399911.952,0,0
KOR,South Korea,Female,2019,4.4,997507.412,1,226706.23
CRI,Costa Rica,Female,2014,5.8,105449.22,0,0
KOR,South Korea,Female,2020,3.9,888211.194,0.8,182197.168
FIN,Finland,Female,2009,16,365642.72,0,0
KOR,South Korea,Female,2021,4.5,1029077.82,0.9,205815.564
CRI,Costa Rica,Female,2015,5.8,107335.38,0,0
KOR,South Korea,Male,2019,28.5,6442096.68,4.3,971965.464
FIN,Finland,Female,2010,15.7,360682.066,0,0
KOR,South Korea,Male,2020,27.8,6313128.41,4.3,976491.085
