Sex,Year,Source,Target,Mortality Type,Value,Cause
Total,2000,Total,Other,"Symptoms, signs, ill-defined causes",332372.5117,
Female,2000,Total,External Causes,Accidents,106567.1773,
Female,2000,Total,Other,"Endocrine, nutritional and metabolic diseases",191669.6893,
Female,2000,Total,Other,Certain conditions originating in the perinatal period,15078.36201,
Female,2000,Total,External Causes,Accidental poisoning,5660.2498,
Total,2001,Total,Other,"Symptoms, signs, ill-defined causes",328245.6471,
Female,2001,Total,External Causes,Accidents,112367.3874,
Female,2001,Total,Other,"Endocrine, nutritional and metabolic diseases",195229.0041,
Female,2001,Total,Other,Certain conditions originating in the perinatal period,15196.54048,
Female,2001,Total,External Causes,Accidental poisoning,6593.673859,
Total,2002,Total,Other,"Symptoms, signs, ill-defined causes",307671.5661,
Female,2002,Total,External Causes,Accidents,112679.1085,
Female,2002,Total,Other,"Endocrine, nutritional and metabolic diseases",201272.8248,
Female,2002,Total,Other,Certain conditions originating in the perinatal period,15308.11337,
Female,2002,Total,External Causes,Accidental poisoning,7299.6688,
Total,2003,Total,Other,"Symptoms, signs, ill-defined causes",322099.9119,
Female,2003,Total,External Causes,Accidents,114538.9916,
Female,2003,Total,Other,"Endocrine, nutritional and metabolic diseases",210531.1179,
Female,2003,Total,Other,Certain conditions originating in the perinatal period,15077.28449,
Female,2003,Total,External Causes,Accidental poisoning,8003.708982,
Total,2004,Total,Other,"Symptoms, signs, ill-defined causes",305353.7802,
Female,2004,Total,External Causes,Accidents,110119.3844,
Female,2004,Total,Other,"Endocrine, nutritional and metabolic diseases",202206.9748,
Female,2004,Total,Other,Certain conditions originating in the perinatal period,15057.50839,
Female,2004,Total,External Causes,Accidental poisoning,8662.953386,
Total,2005,Total,Other,"Symptoms, signs, ill-defined causes",302312.3551,
Female,2005,Total,External Causes,Accidents,109521.7975,
Female,2005,Total,Other,"Endocrine, nutritional and metabolic diseases",208427.8886,
Female,2005,Total,Other,Certain conditions originating in the perinatal period,15076.40656,
Female,2005,Total,External Causes,Accidental poisoning,9212.668077,
Total,2006,Total,Other,"Symptoms, signs, ill-defined causes",292306.0213,
Female,2006,Total,External Causes,Accidents,109533.2341,
Female,2006,Total,Other,"Endocrine, nutritional and metabolic diseases",200822.4142,
Female,2006,Total,Other,Certain conditions originating in the perinatal period,14762.16408,
Female,2006,Total,External Causes,Accidental poisoning,10754.63508,
Total,2007,Total,Other,"Symptoms, signs, ill-defined causes",294729.2243,
Female,2007,Total,External Causes,Accidents,109099.4769,
Female,2007,Total,Other,"Endocrine, nutritional and metabolic diseases",200928.9645,
Female,2007,Total,Other,Certain conditions originating in the perinatal period,14915.0625,
